模型,准确率均值,准确率标准差,加权F1均值,宏平均F1均值
随机森林,1.0,0.0,1.0,1.0
RBF-SVM,0.9992248062015504,0.0015503875968992276,0.9992237214725972,0.9989905047476262
决策树,0.9992248062015504,0.0015503875968992276,0.9992237214725972,0.9989905047476262
XGBoost,0.9961240310077519,0.003466772058139215,0.9961179578313626,0.9958491761703469
KNN,0.9852773038819549,0.007110654355136201,0.9851497001480929,0.9809049529928231
Gaussian Naive Bayes,0.9845080961360031,0.007354173073100654,0.9844302719080714,0.9826947981781021
逻辑回归,0.9124869055101612,0.022200999728109953,0.9119193863325272,0.9143031428748654
